"Date2","Bitcoins"
2012-12-02,112.07796602
2012-12-03,10.13347336
2012-12-04,72.86376187
2012-12-05,143.75249838
2012-12-06,27.06376281
2012-12-07,124.34182131
2012-12-08,158.35818257
2012-12-09,46.99353258
2012-12-10,16.20406559
2012-12-11,1567.83469462
2012-12-12,7.30865999
2012-12-13,98.66626346
2012-12-14,50.66397251
2012-12-15,50.1358007
2012-12-16,507.75410807
2012-12-17,11.05678913
2012-12-18,3.24083449
2012-12-19,114.57065895
2012-12-20,6.82058436
2012-12-21,4.2716184
2012-12-22,23.29289487
2012-12-23,28.57963942
2012-12-24,63.72813918
2012-12-25,1.71
2012-12-26,2.82
2012-12-27,10.75084632
2012-12-28,3.51
2012-12-29,8.24
2012-12-30,3.36460707
2012-12-31,4.02913977
2013-01-01,1.7623334
2013-01-02,4.61
2013-01-03,89.60682953
2013-01-04,103.71185397
2013-01-05,4.47438458
2013-01-06,3.6
2013-01-07,5.69726027
2013-01-08,305.52684074
2013-01-09,178.07425644
2013-01-10,74.25445213
2013-01-11,53.80632916
2013-01-12,10.31376542
2013-01-13,1687.53924077
2013-01-14,34.10678648
2013-01-15,20.81102178
2013-01-16,28.83920493
2013-01-17,36.3789523
2013-01-18,132.5096841
2013-01-19,4.70907445
2013-01-20,158.17152696
2013-01-21,100.59451679
2013-01-22,105.1730842
2013-01-23,106.06336969
2013-01-24,104.45880525
2013-01-25,455.96814184
2013-01-26,19.54647133
2013-01-27,10.46915638
2013-01-28,146.16328334
2013-01-29,63.04811944
2013-01-30,710.26415119
2013-01-31,923.78493415
2013-02-01,71.59680316
2013-02-02,56.45371673
2013-02-03,61.8693608
2013-02-04,2.63128357
2013-02-05,25.22272406
2013-02-06,139.59042425
2013-02-07,39.16854998
2013-02-08,74.74
2013-02-09,13.19740946
2013-02-10,2181.01614808
2013-02-11,99.89588154
2013-02-12,421.87102612
2013-02-13,20.22859929
2013-02-14,68.70375059
2013-02-15,16.18273805
2013-02-16,19.14599167
2013-02-17,39.09968887
2013-02-18,72.4008735
2013-02-19,29.12575155
2013-02-20,53.45456506
2013-02-21,151.40845932
2013-02-22,37.03973192
2013-02-23,137.62996273
2013-02-24,83.68822441
2013-02-25,60.26222558
2013-02-26,34.39010787
2013-02-27,57.83336642
2013-02-28,78.45390025
2013-03-01,38.91801426
2013-03-02,273.63614422
2013-03-03,4.42441092
2013-03-04,998.28733463
2013-03-05,143.4399838
2013-03-06,14.65596258
2013-03-07,202.13284744
2013-03-08,60.89147273
2013-03-09,203.12141281
2013-03-10,113.09051898
2013-03-11,192.4685038
2013-03-12,120.38282655
2013-03-13,98.64573298
2013-03-14,71.22984921
2013-03-15,7.90719448
2013-03-16,12.40195817
2013-03-17,10.00160274
2013-03-18,67.96880455
2013-03-19,232.37785581
2013-03-20,267.07922084
2013-03-21,164.10426157
2013-03-22,173.93407789
2013-03-23,776.54692243
2013-03-24,31.79075805
2013-03-25,294.38906802
2013-03-26,98.81499632
2013-03-27,221.71125824
2013-03-28,376.72446147
2013-03-29,403.10862949
2013-03-30,127.99107268
2013-03-31,75.69030018
2013-04-01,68.33729937
2013-04-02,176.97834655
2013-04-03,113.93945599
2013-04-04,232.08467848
2013-04-05,93.3399965
2013-04-06,37.93307047
2013-04-07,106.56672384
2013-04-08,70.30621766
2013-04-09,278.46473867
2013-04-10,272.71602534
2013-04-11,412.98984362
2013-04-12,858.36379182
2013-04-13,1012.6684948
2013-04-14,1026.21086134
2013-04-15,6217.21463608
2013-04-16,4104.27581238
2013-04-17,1674.8826299
2013-04-18,1243.52309268
2013-04-19,1440.81589345
2013-04-20,445.97966648
2013-04-21,266.1514226
2013-04-22,205.49631944
2013-04-23,349.80480386
2013-04-24,1023.28644378
2013-04-25,435.17337894
2013-04-26,485.22950539
2013-04-27,33.7439417
2013-04-28,159.77359891
2013-04-29,780.34872518
2013-04-30,194.12375957
2013-05-01,1368.37584627
2013-05-02,1589.5660383
2013-05-03,1155.0389135
2013-05-04,161.02723762
2013-05-05,149.79521185
2013-05-06,189.95353434
2013-05-07,3110.34355569
2013-05-08,336.58127053
2013-05-09,108.35148338
2013-05-10,315.86227896
2013-05-11,155.23186264
2013-05-12,21.1025235
2013-05-13,84.75443588
2013-05-14,125.65877098
2013-05-15,244.23127452
2013-05-16,63.15533467
2013-05-17,89.29393288
2013-05-18,266.52788896
2013-05-19,17.56435882
2013-05-20,1.2091421
